date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,58.25,58.5,58.0,58.0,38305,17:25,17:15,True,,,
2009-02-03,58.0,58.0,57.5,57.75,18985,17:20,17:20,True,,,
2009-02-04,59.5,60.25,59.25,60.25,171960,17:20,17:20,True,,,
2009-02-05,63.75,64.5,63.75,64.5,60645,17:20,17:20,True,,,
2009-02-06,65.25,66.75,65.25,66.25,19516,17:20,17:20,True,,,
2009-02-09,68.25,68.75,68.25,68.75,45402,17:20,17:20,True,,,
2009-02-10,69.75,70.25,69.75,70.0,61767,17:20,17:20,True,,,
2009-02-11,67.5,67.75,67.25,67.5,49857,17:20,17:20,True,,,
2009-02-12,69.25,69.75,69.25,69.75,24822,17:20,17:20,True,,,
2009-02-13,69.5,69.5,68.75,68.75,83746,17:20,17:20,True,,,
2009-02-16,68.25,68.75,68.0,68.0,47686,17:20,17:20,True,,,
2009-02-17,67.5,68.0,67.5,67.75,156217,17:25,17:15,True,,,
2009-02-19,68.0,68.25,68.0,68.25,58169,17:25,17:15,True,,,
2009-02-20,66.5,67.0,66.0,66.5,38488,17:25,17:15,True,,,
2009-02-23,63.5,64.25,63.5,64.0,53683,17:25,17:15,True,62540.357142857145,0.8583737358163015,3.875
2009-02-24,59.25,59.5,58.75,58.75,53696,17:20,17:20,True,63638.78571428572,0.8437621710928757,3.9464285714285716
2009-02-25,62.0,62.5,62.0,62.5,20767,17:25,17:15,True,66118.14285714286,0.3140892817402615,3.892857142857143
2009-02-26,61.25,61.25,61.0,61.0,10772,17:20,17:20,True,55318.642857142855,0.19472639681016862,3.5535714285714284
2009-02-27,61.5,61.75,61.5,61.5,40222,17:20,17:20,True,51756.28571428572,0.7771423208775193,3.625
2009-03-02,61.25,61.5,61.0,61.5,103149,17:20,17:20,True,53235.28571428572,1.9376058307191524,3.5
2009-03-03,61.0,61.0,60.5,60.5,21122,17:20,17:20,True,57360.07142857143,0.36823524577200917,3.517857142857143
2009-03-04,61.5,61.75,61.0,61.75,72342,17:20,17:20,True,54456.857142857145,1.3284277462106306,3.5
2009-03-05,65.5,65.5,65.25,65.25,31687,17:20,17:20,True,56062.92857142857,0.565204151966986,3.6785714285714284
2009-03-06,63.5,63.5,63.5,63.5,19741,17:25,17:15,True,56553.28571428572,0.34906901960982434,3.6607142857142856
2009-03-10,64.0,64.0,62.75,63.25,36474,17:25,17:15,True,51981.5,0.7016727104835374,3.7142857142857144
2009-03-11,67.25,67.75,66.5,66.5,89497,17:25,17:15,True,51180.642857142855,1.7486493917203632,4.017857142857143
2009-03-12,66.5,66.75,66.0,66.75,32745,17:20,17:20,True,46414.92857142857,0.7054842269035978,3.9642857142857144
2009-03-13,70.0,70.25,69.5,70.0,187508,17:20,17:20,True,44598.92857142857,4.204316247187232,3.9642857142857144
2009-03-16,68.0,68.5,67.75,68.5,18485,17:25,17:15,True,55243.21428571428,0.33461123214874483,3.857142857142857
2009-03-17,68.75,69.0,68.5,68.5,54795,17:20,17:20,True,52729.07142857143,1.0391800673794749,3.6785714285714284
2009-03-18,67.25,67.25,66.75,67.25,36935,17:20,17:20,True,52807.57142857143,0.6994262186428895,3.642857142857143
2009-03-19,63.75,64.25,63.75,63.75,49209,17:25,17:15,True,53962.42857142857,0.9119122564112068,3.7857142857142856
2009-03-20,64.0,64.0,63.25,64.0,77821,17:20,17:20,True,56707.92857142857,1.3723125136192849,3.767857142857143
2009-03-23,65.0,65.0,64.75,64.75,33876,17:25,17:15,True,59393.57142857143,0.5703647580907024,3.6964285714285716
2009-03-24,66.0,66.5,66.0,66.25,57487,17:20,17:20,True,54445.5,1.0558632026521935,3.625
