date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,66.9,66.9,66.0,66.0,739524,17:25,17:15,True,,,
2009-02-03,66.0,66.2,65.3,65.4,437385,17:20,17:20,True,,,
2009-02-04,67.0,67.4,66.9,67.1,756645,17:20,17:20,True,,,
2009-02-05,68.2,68.8,68.2,68.5,1023105,17:20,17:20,True,,,
2009-02-06,67.9,68.3,67.7,68.3,637534,17:20,17:20,True,,,
2009-02-09,70.2,70.4,69.6,70.0,1234720,17:20,17:20,True,,,
2009-02-10,70.9,71.4,70.9,71.3,1000652,17:20,17:20,True,,,
2009-02-11,69.4,69.4,69.1,69.1,627996,17:20,17:20,True,,,
2009-02-12,69.1,69.2,68.2,68.5,504806,17:20,17:20,True,,,
2009-02-13,71.5,72.0,71.3,71.3,1243223,17:20,17:20,True,,,
2009-02-16,72.0,73.2,72.0,73.1,605815,17:20,17:20,True,,,
2009-02-17,75.0,75.4,74.7,74.8,1360692,17:25,17:15,True,,,
2009-02-19,73.7,74.0,73.5,74.0,541538,17:25,17:15,True,,,
2009-02-20,74.8,74.9,74.4,74.5,1001614,17:25,17:15,True,,,
2009-02-23,74.1,74.3,73.7,74.0,1049723,17:20,17:20,True,836803.5,1.2544438449408972,3.1285714285714312
2009-02-24,68.5,69.3,68.5,68.9,1131124,17:20,17:20,True,858960.5714285715,1.3168520623930184,3.250000000000002
2009-02-25,70.3,70.6,70.1,70.6,1049504,17:20,17:20,True,908513.3571428572,1.1551882993779399,3.2071428571428586
2009-02-26,71.8,72.4,71.6,71.9,803346,17:20,17:20,True,929431.8571428572,0.8643409345463426,3.1714285714285717
2009-02-27,72.3,72.7,72.2,72.3,542573,17:20,17:20,True,913734.7857142857,0.5937970278496723,3.1785714285714284
2009-03-02,73.4,73.6,73.4,73.5,444577,17:20,17:20,True,906951.8571428572,0.49018809157140647,3.2142857142857144
2009-03-03,71.0,71.5,70.6,70.7,723165,17:20,17:20,True,850513.0714285715,0.8502691190687167,3.221428571428571
2009-03-04,70.0,70.9,69.9,70.2,1008985,17:20,17:20,True,830692.5714285715,1.2146310617233673,3.2071428571428564
2009-03-05,71.5,71.7,71.2,71.2,399616,17:20,17:20,True,857906.0714285715,0.46580390710438246,3.2357142857142853
2009-03-06,71.0,71.3,70.1,70.4,594177,17:20,17:20,True,850392.5,0.6987091254920522,3.135714285714286
2009-03-10,71.0,71.2,70.8,71.0,940759,17:25,17:15,True,804032.0714285715,1.170051585539987,3.150000000000001
2009-03-11,72.2,72.5,72.1,72.4,631924,17:25,17:15,True,827956.6428571428,0.7632332024287332,3.000000000000001
2009-03-12,73.8,74.3,73.8,74.2,365509,17:20,17:20,True,775901.7857142857,0.4710763742649682,2.9357142857142873
2009-03-13,78.0,78.4,77.7,77.9,796016,17:20,17:20,True,763328.2857142857,1.0428226162942813,2.9000000000000026
2009-03-16,75.4,75.7,75.1,75.6,598747,17:25,17:15,True,748642.7142857143,0.7997767006538881,3.035714285714288
2009-03-17,76.5,76.5,76.2,76.2,273663,17:20,17:20,True,716430.1428571428,0.38198141539470204,2.9357142857142873
2009-03-18,78.6,78.7,78.0,78.2,827883,17:20,17:20,True,655182.9285714285,1.2635906155325651,3.007142857142859
