date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2017-12-06,251.6,251.6,250.1,250.2,53054,17:25,17:20,True,,,
2017-12-20,239.7,240.3,239.0,240.2,18434,17:25,17:20,True,,,
2017-12-21,235.5,235.5,234.4,234.8,21206,17:25,17:20,True,,,
2017-12-22,239.4,239.4,238.5,238.8,21400,17:25,17:20,True,,,
2017-12-27,236.0,237.0,236.0,236.8,7040,17:25,17:20,True,,,
2017-12-28,235.9,236.0,234.7,234.9,17854,17:25,17:20,True,,,
2017-12-29,233.3,233.9,233.0,233.9,16555,17:25,17:20,True,,,
2018-01-02,232.7,232.7,231.8,231.8,10458,17:25,17:20,True,,,
2018-01-03,232.1,232.6,232.1,232.6,9232,17:25,17:20,True,,,
2018-01-04,236.6,237.9,236.6,237.5,30692,17:25,17:20,True,,,
2018-01-08,237.3,237.6,237.1,237.4,19961,17:25,17:20,True,,,
2018-01-09,239.9,239.9,238.8,239.0,29255,17:25,17:20,True,,,
2018-01-10,235.4,235.4,233.2,233.2,16201,17:25,17:20,True,,,
2018-01-11,234.6,236.2,234.6,235.7,35154,17:25,17:20,True,,,
2018-01-12,239.7,239.7,237.3,238.1,19033,17:25,17:20,True,21892.571428571428,0.8693816558780539,5.049999999999999
2018-01-15,236.6,236.9,235.7,235.7,5503,17:25,17:20,True,19462.5,0.2827488760436737,5.071428571428571
2018-01-16,237.8,238.0,237.3,237.9,17923,17:25,17:20,True,18538.85714285714,0.966780199118454,4.285714285714286
2018-01-17,235.4,235.7,235.2,235.2,15998,17:25,17:20,True,18304.35714285714,0.8739995551410477,4.171428571428572
2018-01-18,235.9,236.1,235.5,235.9,16089,17:25,17:20,True,17918.5,0.8978988196556631,4.092857142857143
2018-01-19,233.0,233.3,232.2,233.3,22721,17:25,17:20,True,18564.85714285714,1.2238715237699496,4.292857142857143
2018-01-22,234.5,234.6,234.5,234.6,5500,17:25,17:20,True,18912.5,0.29081295439524124,4.307142857142858
2018-01-23,238.0,238.0,237.4,237.6,10853,17:25,17:20,True,18122.85714285714,0.5988570077250512,4.264285714285715
2018-01-24,239.5,239.6,239.2,239.6,6541,17:25,17:20,True,18151.071428571428,0.36036440194400177,4.371428571428573
2018-01-25,233.9,234.4,233.7,234.4,14393,17:25,17:20,True,17958.85714285714,0.8014429807814688,4.200000000000003
2018-01-26,238.7,239.0,237.7,237.9,25366,17:25,17:20,True,16794.64285714286,1.510362573099415,5.107142857142861
2018-01-29,240.5,240.8,239.4,239.7,20375,17:25,17:20,True,17180.714285714286,1.18592275391843,5.285714285714292
2018-01-30,237.9,237.9,236.5,237.2,16772,17:25,17:20,True,16546.428571428572,1.0136326354413987,5.128571428571435
2018-01-31,236.5,237.2,236.2,237.2,27673,17:25,17:20,True,16587.214285714286,1.6683331826148367,5.157142857142865
2018-02-01,236.5,237.0,236.1,236.7,11055,17:25,17:20,True,16052.857142857143,0.6886624543917416,4.871428571428579
2018-02-02,235.0,235.8,235.0,235.2,21534,17:25,17:20,True,15483.0,1.3908157333850029,4.69285714285715
2018-02-05,231.4,231.5,231.0,231.1,14799,17:25,17:20,True,16628.071428571428,0.8900009880022166,4.700000000000007
2018-02-06,219.0,219.1,217.9,218.2,121584,17:25,17:20,True,16404.928571428572,7.411431233644941,5.007142857142865
2018-02-07,219.4,219.6,218.3,219.0,45315,17:25,17:20,True,23946.785714285714,1.8923207707565883,5.492857142857152
2018-02-08,222.1,222.2,221.1,222.2,32742,17:25,17:20,True,26034.35714285714,1.2576458032105926,5.657142857142865
2018-02-09,218.2,219.4,218.0,219.1,35338,17:25,17:20,True,26750.14285714286,1.3210396740204324,5.757142857142865
2018-02-12,227.8,227.8,222.3,222.6,74706,17:25,17:20,True,28881.428571428572,2.5866449028045704,5.978571428571436
2018-02-13,225.7,226.0,225.1,225.7,14682,17:25,17:20,True,33442.357142857145,0.43902407767736806,6.171428571428578
2018-02-14,223.8,224.0,222.7,223.5,13434,17:25,17:20,True,34023.857142857145,0.3948405950446535,6.01428571428572
2018-02-15,222.8,222.9,222.1,222.7,30821,17:25,17:20,True,33955.357142857145,0.9076918222455955,6.250000000000004
2018-02-16,225.1,225.5,224.5,224.5,29552,17:25,17:20,True,34345.0,0.860445479691367,5.957142857142862
2018-02-19,225.7,226.0,224.5,224.5,6363,17:25,17:20,True,35000.5,0.18179740289424437,5.9357142857142895
2018-02-20,226.0,227.8,226.0,227.7,20183,17:25,17:20,True,34257.0,0.5891642583997431,5.8714285714285745
2018-02-21,224.3,224.7,223.7,224.5,26599,17:25,17:20,True,33722.0,0.7887729078939565,5.942857142857146
2018-02-22,223.5,223.5,222.7,222.9,10938,17:25,17:20,True,34832.28571428572,0.3140190135588493,5.928571428571431
2018-02-23,225.1,226.0,225.1,225.7,22666,17:25,17:20,True,34075.42857142857,0.6651713844915481,5.964285714285716
2018-02-26,228.0,229.3,227.7,229.3,10856,17:25,17:20,True,34637.357142857145,0.31341883144334254,5.621428571428573
2018-02-27,230.3,230.9,230.3,230.7,14981,17:25,17:20,True,26728.214285714286,0.5604938601531287,5.178571428571429
2018-02-28,226.8,227.4,226.8,227.4,27753,17:25,17:20,True,24561.5,1.1299391323819798,4.964285714285716
2018-03-01,228.2,228.8,227.9,228.2,10820,17:25,17:20,True,24205.14285714286,0.4470124412757619,4.864285714285716
2018-03-02,222.5,223.6,222.2,222.5,21436,17:25,17:20,True,22453.85714285714,0.954668940112103,4.778571428571431
2018-03-05,219.0,219.6,219.0,219.5,18255,17:25,17:20,True,18648.85714285714,0.9788803603437974,4.671428571428576
2018-03-06,225.5,225.8,224.5,225.7,11839,17:25,17:20,True,18904.071428571428,0.6262672062329733,4.842857142857148
2018-03-07,227.3,227.4,226.6,227.1,18066,17:25,17:20,True,18790.14285714286,0.9614615565912218,3.842857142857148
2018-03-08,228.1,228.9,227.4,228.4,20982,17:25,17:20,True,17879.071428571428,1.1735508795199496,3.7714285714285762
2018-03-09,232.1,232.1,231.1,231.8,22980,17:25,17:20,True,17266.928571428572,1.3308678439792005,4.028571428571433
2018-03-12,233.4,234.8,233.4,234.5,36200,17:25,17:20,True,18453.85714285714,1.9616495196513313,4.092857142857148
2018-03-13,231.1,232.2,231.1,231.4,5934,17:25,17:20,True,19597.928571428572,0.30278710213542975,4.171428571428576
2018-03-14,227.6,228.1,227.1,227.7,18454,17:25,17:20,True,18121.85714285714,1.018328301262091,4.392857142857149
2018-03-15,230.0,230.3,228.3,229.7,27192,17:25,17:20,True,18658.714285714286,1.4573351402255552,4.464285714285721
2018-03-16,228.3,228.7,227.2,228.7,18116,17:25,17:20,True,18982.0,0.9543778316299653,4.457142857142865
2018-03-19,225.2,225.4,224.2,224.2,11264,17:25,17:20,True,19500.571428571428,0.577624098927504,4.464285714285724
2018-03-20,224.2,224.7,221.4,221.4,38542,17:25,17:20,True,19235.071428571428,2.0037357356911296,4.428571428571437
2018-03-21,223.0,223.4,222.6,223.2,13479,17:25,17:20,True,20005.714285714286,0.673757497857755,4.5071428571428624
2018-03-22,220.0,220.1,218.5,219.0,22282,17:25,17:20,True,20195.64285714286,1.103307290469302,4.378571428571433
2018-03-23,217.8,218.6,217.5,218.1,21008,17:25,17:20,True,20256.071428571428,1.0371211453356137,4.3142857142857185
2018-03-26,220.3,221.0,220.0,220.5,19773,17:25,17:20,True,20452.714285714286,0.966766548624353,4.26428571428572
2018-03-27,222.4,222.7,221.3,221.4,32878,17:25,17:20,True,21019.428571428572,1.5641719225750326,4.107142857142863
2018-03-28,222.1,222.5,221.5,222.2,24043,17:25,17:20,True,22077.428571428572,1.0890308136299516,4.321428571428576
2018-04-03,229.8,229.8,228.4,229.0,49061,17:25,17:20,True,22296.071428571428,2.2004324913101283,4.414285714285719
2018-04-04,227.5,227.6,226.4,227.2,23454,17:25,17:20,True,24159.0,0.9708183285732025,4.414285714285719
2018-04-05,230.5,230.5,229.1,229.5,24355,17:25,17:20,True,23248.571428571428,1.0475912498463809,4.364285714285718
2018-04-06,229.0,229.7,228.7,229.2,15932,17:25,17:20,True,24564.35714285714,0.6485820047048424,4.178571428571431
2018-04-09,227.1,227.8,227.0,227.1,14256,17:25,17:20,True,24384.214285714286,0.5846405314913923,4.135714285714288
2018-04-10,226.2,226.2,224.7,225.7,16565,17:25,17:20,True,23460.214285714286,0.7060890321912783,4.107142857142859
2018-04-11,225.6,225.9,223.2,224.2,26176,17:25,17:20,True,23349.428571428572,1.1210552720776281,4.028571428571431
2018-04-12,221.0,223.2,220.2,223.2,42049,17:25,17:20,True,24414.571428571428,1.7222911376110286,4.142857142857147
2018-04-13,220.0,220.4,219.3,220.2,43861,17:25,17:20,True,24665.071428571428,1.7782636521860005,4.242857142857149
2018-04-16,219.4,219.4,218.4,218.6,18232,17:25,17:20,True,26835.214285714286,0.6794057914307693,4.407142857142865
2018-04-17,220.2,221.0,219.9,220.4,10834,17:25,17:20,True,26545.928571428572,0.4081228490782821,4.400000000000006
2018-04-19,222.5,222.5,221.7,221.9,18141,17:25,17:20,True,25819.214285714286,0.7026162686150126,4.178571428571435
2018-04-20,223.3,223.3,222.2,222.4,51448,17:25,17:20,True,25702.64285714286,2.0016618635660035,4.2071428571428635
2018-04-23,218.0,218.4,217.7,218.1,26010,17:25,17:20,True,27029.071428571428,0.9622972090896839,4.242857142857152
2018-04-24,218.3,218.7,218.3,218.4,4594,17:25,17:20,True,27169.571428571428,0.16908621514614564,3.971428571428579
2018-04-25,215.0,215.1,212.7,213.9,71449,17:25,17:20,True,23993.35714285714,2.9778658974061276,4.050000000000007
2018-04-26,216.0,216.9,216.0,216.8,12512,17:25,17:20,True,27421.571428571428,0.4562831139196983,4.085714285714295
2018-04-27,221.0,221.9,220.0,220.9,125914,17:25,17:20,True,26575.64285714286,4.7379474760723435,4.0428571428571525
2018-05-02,223.9,225.2,223.1,225.0,92016,17:25,17:20,True,34431.5,2.6724365769716685,4.4785714285714375
2018-05-03,224.5,225.0,223.0,223.5,51178,17:25,17:20,True,39985.78571428572,1.2799048233211443,4.778571428571437
2018-05-04,223.0,224.4,222.9,224.2,13656,17:25,17:20,True,42458.142857142855,0.3216344164168408,4.828571428571436
2018-05-07,226.8,226.8,226.2,226.4,5528,17:25,17:20,True,41563.857142857145,0.13300016841555334,4.678571428571435
2018-05-08,229.2,230.3,229.1,230.0,24319,17:25,17:20,True,38955.21428571428,0.6242809966756697,4.621428571428576
2018-05-11,233.6,233.7,232.8,233.1,45510,17:25,17:20,True,37559.357142857145,1.2116820803642234,4.478571428571434
2018-05-14,229.0,229.8,229.0,229.5,8557,17:25,17:20,True,39507.78571428572,0.2165902200108839,4.664285714285719
2018-05-15,232.5,232.5,231.3,232.0,17138,17:25,17:20,True,39345.142857142855,0.43558108461382056,4.857142857142861
2018-05-16,233.1,233.5,232.2,232.7,5590,17:25,17:20,True,39273.5,0.14233516238685118,4.95714285714286
2018-05-17,232.0,232.7,231.8,232.3,17694,17:25,17:20,True,35997.92857142857,0.4915282823813275,4.764285714285715
2018-05-18,236.2,236.7,235.6,235.8,7388,17:25,17:20,True,35403.92857142857,0.20867740666390935,4.828571428571428
2018-05-21,237.9,239.0,237.6,238.5,9810,17:25,17:20,True,35603.5,0.2755347086662828,4.792857142857143
2018-05-22,236.0,236.0,234.6,234.6,26990,17:25,17:20,True,31200.714285714286,0.8650442984363911,4.79285714285714
2018-05-23,237.1,237.9,236.9,237.5,13206,17:25,17:20,True,32234.85714285714,0.4096807360266615,4.914285714285711
2018-05-24,235.6,236.8,235.6,236.8,13330,17:25,17:20,True,24184.285714285714,0.551184358201902,4.399999999999998
2018-05-25,236.0,237.3,236.0,237.3,4185,17:25,17:20,True,18563.85714285714,0.2254380632103858,4.207142857142854
2018-05-28,234.2,234.3,232.6,232.6,39401,17:25,17:20,True,15207.214285714286,2.590941329538142,4.321428571428568
2018-05-29,228.0,229.7,228.0,229.1,41384,17:25,17:20,True,17046.14285714286,2.4277632979392068,4.478571428571426
2018-05-30,229.0,229.2,228.5,229.0,10007,17:25,17:20,True,19607.285714285714,0.5103715091329025,4.478571428571426
2018-05-31,230.7,232.0,230.7,231.1,22432,17:25,17:20,True,18585.0,1.2069948883508206,4.392857142857139
2018-06-01,224.4,224.8,223.3,224.1,26477,17:25,17:20,True,16936.571428571428,1.5633034177941227,4.635714285714282
2018-06-04,225.5,225.5,224.9,224.9,8079,17:25,17:20,True,18216.571428571428,0.44349728661501303,4.535714285714282
