date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,3.556244,3.556244,3.556244,3.556244,6212.0,17:25,17:15,True,,,
2009-02-03,3.493635,3.493635,3.456069,3.456069,25433.0,17:25,17:15,True,,,
2009-02-04,3.481113,3.481113,3.481113,3.481113,26353.0,17:25,17:15,True,,,
2009-02-05,3.606332,3.606332,3.518678,3.518678,36726.0,17:25,17:15,True,,,
2009-02-06,4.257476,4.320086,4.257476,4.295042,1770405.0,17:25,17:15,True,,,
2009-02-09,4.34513,4.370174,4.332608,4.370174,226559.0,17:25,17:15,True,,,
2009-02-10,5.033839,5.033839,4.971229,4.971229,216426.0,17:25,17:15,True,,,
2009-02-11,4.833487,4.846009,4.808443,4.820965,143746.0,17:25,17:15,True,,,
2009-02-12,4.808443,4.846009,4.808443,4.846009,160588.0,17:25,17:15,True,,,
2009-02-13,4.833487,4.883575,4.833487,4.858531,44345.0,17:25,17:15,True,,,
2009-02-16,4.958707,5.008795,4.958707,4.971229,301252.0,17:25,17:15,True,,,
2009-02-17,5.108971,5.108971,5.083927,5.083927,136829.0,17:25,17:15,True,,,
2009-02-19,5.046361,5.046361,5.008795,5.008795,72998.0,17:25,17:15,True,,,
2009-02-20,4.820965,4.820965,4.770877,4.770877,238690.0,17:25,17:15,True,,,
2009-02-23,4.645657,4.658179,4.633135,4.645657,159742.0,17:25,17:15,True,243325.85714285713,0.6564941427750325,0.3425659285714287
2009-02-24,4.495394,4.495394,4.47035,4.495394,98505.0,17:25,17:15,True,254292.2857142857,0.38736920281835413,0.347038142857143
2009-02-25,4.883575,4.883575,4.858531,4.883575,205261.0,17:25,17:15,True,259511.7142857143,0.790950807615621,0.37744864285714297
2009-02-26,4.720789,4.770877,4.720789,4.770877,185679.0,17:25,17:15,True,272290.85714285716,0.6819141925965722,0.38549857142857163
2009-02-27,4.883575,4.883575,4.820965,4.820965,68662.0,17:25,17:15,True,282930.35714285716,0.24268162912377478,0.38907628571428593
2009-03-02,4.820965,4.833487,4.795921,4.795921,158504.0,17:25,17:15,True,161377.2857142857,0.9821952283955699,0.33719942857142876
2009-03-03,4.720789,4.733311,4.720789,4.733311,76736.0,17:25,17:15,True,156516.2142857143,0.49027508332089736,0.3050000714285716
2009-03-04,4.545481,4.608091,4.545481,4.608091,79059.0,17:25,17:15,True,146538.35714285713,0.5395106205737454,0.3076832857142859
2009-03-05,4.846009,4.846009,4.758355,4.783399,84881.0,17:25,17:15,True,141917.85714285713,0.5980995042403806,0.31036650000000016
2009-03-06,4.382696,4.395218,4.382696,4.395218,60021.0,17:25,17:15,True,136510.2142857143,0.43968138438620236,0.3363048571428573
2009-03-10,4.382696,4.382696,4.357652,4.357652,74684.0,17:25,17:15,True,137629.92857142858,0.5426436006703276,0.3407769285714287
2009-03-11,4.683223,4.683223,4.683223,4.683223,120642.0,17:25,17:15,True,121446.5,0.9933756839431355,0.33988242857142875
2009-03-12,4.708267,4.708267,4.670701,4.670701,94504.0,17:25,17:15,True,120290.28571428571,0.785632850057955,0.33004371428571444
2009-03-13,5.008795,5.071405,5.008795,5.071405,504256.0,17:25,17:15,True,121826.42857142857,4.139134717425846,0.3363047142857144
2009-03-16,4.908619,4.946185,4.908619,4.921141,222894.0,17:25,17:15,True,140795.42857142858,1.583105376797948,0.337199142857143
2009-03-17,5.134015,5.134015,5.121493,5.134015,71338.0,17:25,17:15,True,145306.2857142857,0.49094916747284556,0.36045428571428584
2009-03-18,5.083927,5.108971,5.083927,5.108971,128572.0,17:25,17:15,True,143365.7857142857,0.8968109047735537,0.3524045000000001
2009-03-19,5.058883,5.058883,5.058883,5.058883,10062.0,17:25,17:15,True,137888.0,0.0729722673474124,0.33988250000000003
2009-03-20,5.159059,5.159059,5.134015,5.134015,51396.0,17:25,17:15,True,125343.92857142857,0.41003980476574453,0.34256578571428575
2009-03-23,5.159059,5.159059,5.159059,5.159059,101389.0,17:25,17:15,True,124110.64285714286,0.8169242996888145,0.3586655
2009-03-24,5.296801,5.346889,5.296801,5.346889,204422.0,17:25,17:15,True,120031.0,1.703076705184494,0.35329892857142864
2009-03-25,5.196625,5.196625,5.159059,5.159059,166051.0,17:25,17:15,True,129151.42857142857,1.28570780700396,0.3416714285714287
2009-03-26,5.259235,5.259235,5.259235,5.259235,167113.0,17:25,17:15,True,135365.14285714287,1.234534950968597,0.32914950000000015
2009-03-27,5.259235,5.271757,5.234191,5.234191,198194.0,17:25,17:15,True,141238.85714285713,1.4032540620145004,0.30410557142857153
2009-03-30,5.046361,5.046361,5.021317,5.021317,58312.0,17:25,17:15,True,151108.35714285713,0.38589526815430936,0.30231678571428583
2009-03-31,4.883575,4.921141,4.883575,4.921141,44928.0,17:25,17:15,True,149938.92857142858,0.2996419970988188,0.2951614285714287
2009-04-01,5.033839,5.033839,5.008795,5.008795,67489.0,17:25,17:15,True,144530.7857142857,0.46695241893595585,0.29247814285714296
2009-04-02,5.359411,5.371933,5.359411,5.359411,449432.0,17:25,17:15,True,142601.14285714287,3.1516717958581775,0.2951614285714287
2009-04-03,5.509674,5.509674,5.497153,5.509674,163024.0,17:25,17:15,True,138685.14285714287,1.1754972208373333,0.2915836428571429
2009-04-06,5.885334,5.935422,5.885334,5.935422,90024.0,17:25,17:15,True,134408.7142857143,0.6697780012137818,0.27906157142857146
2009-04-07,5.67246,5.67246,5.659938,5.67246,29076.0,17:25,17:15,True,135743.42857142858,0.2141982142781971,0.28442814285714296
2009-04-08,5.684982,5.697504,5.659938,5.67246,82525.0,17:25,17:15,True,128636.57142857143,0.6415360661709179,0.28890028571428583
2009-04-14,6.260994,6.260994,6.260994,6.260994,116938.0,17:25,17:15,True,133812.5,0.873894441849603,0.30142228571428575
2009-04-15,6.574043,6.574043,6.542738,6.574043,80370.0,17:25,17:15,True,138494.07142857142,0.580313649320729,0.3336216428571429
2009-04-16,6.667958,6.667958,6.636653,6.636653,31631.0,17:25,17:15,True,136992.7142857143,0.2308954907925239,0.3354104285714286
2009-04-17,7.106228,7.137533,7.106228,7.137533,71178.0,17:25,17:15,True,124650.5,0.5710205735235719,0.3626905000000001
2009-04-20,7.387973,7.387973,7.387973,7.387973,75362.0,17:25,17:15,True,117873.85714285714,0.6393444808433228,0.40204528571428577
2009-04-21,7.043618,7.074923,7.043618,7.043618,109079.0,17:25,17:15,True,111320.21428571429,0.9798669603710788,0.4230643571428572
2009-04-22,7.294058,7.294058,7.231448,7.262753,146181.0,17:25,17:15,True,104954.85714285714,1.3927988087395398,0.443189
2009-04-23,7.638412,7.638412,7.638412,7.638412,54279.0,17:25,17:15,True,111231.21428571429,0.4879835246658023,0.4695745714285714
