date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,29.281595,29.281595,29.281595,29.281595,5762,17:25,17:15,True,,,
2009-02-03,29.450365,29.450365,29.450365,29.450365,1795,17:25,17:15,True,,,
2009-02-04,29.53475,29.53475,29.36598,29.36598,5196,17:25,17:15,True,,,
2009-02-05,31.22245,31.22245,31.05368,31.05368,13330,17:25,17:15,True,,,
2009-02-06,31.55999,31.55999,31.39122,31.475605,8190,17:25,17:15,True,,,
2009-02-09,33.332075,33.332075,32.994535,32.994535,4539,17:25,17:15,True,,,
2009-02-10,34.76662,34.76662,34.59785,34.59785,5598,17:25,17:15,True,,,
2009-02-11,33.838385,33.838385,33.41646,33.41646,19294,17:25,17:15,True,,,
2009-02-12,34.175925,34.175925,33.332075,33.332075,7820,17:25,17:15,True,,,
2009-02-13,34.76662,34.76662,34.513465,34.513465,9000,17:25,17:15,True,,,
2009-02-16,33.754,33.838385,33.754,33.838385,6399,17:25,17:15,True,,,
2009-02-17,34.09154,34.09154,33.754,33.754,11523,17:25,17:15,True,,,
2009-02-19,31.981915,32.74138,31.981915,32.74138,4325,17:25,17:15,True,,,
2009-02-20,29.281595,30.20983,28.85967,30.20983,82986,17:25,17:15,True,,,
2009-02-23,29.02844,29.19721,29.02844,29.19721,13264,17:25,17:15,True,13268.357142857143,0.9996716139903207,1.7238649999999998
2009-02-24,27.84705,27.84705,27.84705,27.84705,5439,17:25,17:15,True,13804.214285714286,0.3940101107839738,1.8142774999999998
2009-02-25,27.0032,27.34074,27.0032,27.34074,23735,17:25,17:15,True,14064.5,1.687582210530058,1.8745524999999996
2009-02-26,27.087585,27.34074,27.087585,27.34074,23028,17:25,17:15,True,15388.714285714286,1.4964213106079594,1.7600299999999998
2009-02-27,27.593895,27.762665,27.593895,27.762665,9531,17:25,17:15,True,16081.42857142857,0.5926712267922182,1.7600299999999998
2009-03-02,27.0032,27.0032,26.66566,26.66566,8470,17:25,17:15,True,16177.214285714286,0.5235759291066359,1.6635899999999997
2009-03-03,25.65304,25.99058,25.65304,25.65304,18097,17:25,17:15,True,16458.0,1.0995868270749787,1.627425
2009-03-04,26.412505,26.412505,26.243735,26.243735,2666,17:25,17:15,True,17350.785714285714,0.15365298401472144,1.6213975
2009-03-05,27.50951,27.50951,27.0032,27.256355,22777,17:25,17:15,True,16163.07142857143,1.4091999840907181,1.6334525000000002
2009-03-06,26.15935,26.15935,25.906195,25.906195,10954,17:25,17:15,True,17231.428571428572,0.6356988890731221,1.6274250000000001
2009-03-10,25.6,25.6,25.1,25.3,18712,17:25,17:15,True,17371.0,1.0771976282309597,1.6033149999999998
2009-03-11,28.8,29.3,28.5,28.5,23810,17:25,17:15,True,18250.5,1.3046217911838032,1.7678146428571428
2009-03-12,32.0,32.0,31.3,31.7,71629,17:25,17:15,True,19128.14285714286,3.744691815350605,1.9863249999999997
2009-03-13,31.7,31.9,31.7,31.8,37492,17:25,17:15,True,23935.571428571428,1.5663716285982012,2.1090828571428566
2009-03-16,30.8,30.8,30.1,30.1,28083,17:25,17:15,True,20686.0,1.3575848399883979,2.0597246428571423
