date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,33.820752,34.28832,33.50904,33.664896,272972,17:25,17:15,True,,,
2009-02-03,32.573904,32.651832,31.794624,31.794624,582339,17:20,17:20,True,,,
2009-02-04,35.0676,35.0676,34.833816,34.911744,5078104,17:20,17:20,True,,,
2009-02-05,34.366248,35.0676,34.366248,34.67796,656842,17:20,17:20,True,,,
2009-02-06,36.158592,36.158592,35.84688,36.158592,210967,17:20,17:20,True,,,
2009-02-09,37.40544,37.639224,37.249584,37.561296,305696,17:20,17:20,True,,,
2009-02-10,38.18472,40.13292,38.028864,40.054992,2203577,17:20,17:20,True,,,
2009-02-11,37.249584,37.40544,37.0158,37.0158,406649,17:20,17:20,True,,,
2009-02-12,37.483368,37.483368,36.62616,37.0158,265660,17:20,17:20,True,,,
2009-02-13,38.808144,39.431568,38.57436,39.197784,500280,17:20,17:20,True,,,
2009-02-16,38.340576,38.57436,38.262648,38.418504,108185,17:20,17:20,True,,,
2009-02-17,37.40544,37.483368,37.0158,37.0158,382276,17:25,17:15,True,,,
2009-02-19,36.080664,36.23652,35.924808,36.158592,476561,17:25,17:15,True,,,
2009-02-20,35.535168,35.535168,35.145528,35.223456,147911,17:25,17:15,True,,,
2009-02-23,34.833816,35.223456,34.833816,35.223456,106756,17:20,17:20,True,828429.9285714285,0.1288654553850964,2.321141142857143
2009-02-24,33.431112,33.586968,33.275256,33.50904,395538,17:20,17:20,True,816557.3571428572,0.48439708067047693,2.2933097142857144
2009-02-25,33.89868,34.522104,33.89868,34.522104,317714,17:20,17:20,True,803214.4285714285,0.39555315330312973,2.1374537142857144
2009-02-26,33.664896,33.820752,33.586968,33.820752,180191,17:20,17:20,True,463186.5714285714,0.3890246633106191,2.0595257142857144
2009-02-27,35.613096,35.84688,35.379312,35.691024,196562,17:20,17:20,True,429140.0714285714,0.4580369280026951,2.081790857142857
2009-03-02,33.976608,34.28832,33.664896,33.742824,130189,17:20,17:20,True,428111.14285714284,0.3041009377404666,2.0539594285714284
2009-03-03,33.586968,33.664896,33.431112,33.431112,148048,17:20,17:20,True,415574.9285714286,0.3562486324883135,1.987164
2009-03-04,32.184264,32.72976,32.184264,32.495976,282084,17:20,17:20,True,268751.4285714286,1.0496093044023687,1.9648988571428572
2009-03-05,32.807688,33.041472,32.72976,32.885616,262918,17:20,17:20,True,259853.92857142858,1.0117915147383625,1.9648988571428572
2009-03-06,31.716696,31.95048,31.56084,31.56084,279348,17:20,17:20,True,259658.07142857142,1.0758302195772298,1.8925371428571427
2009-03-10,33.1194,33.275256,32.651832,32.651832,186426,17:25,17:15,True,243877.2142857143,0.7644256579935863,1.8402140714285713
2009-03-11,37.40544,37.717152,37.327512,37.639224,249718,17:25,17:15,True,249465.85714285713,1.001010730927393,2.1908900714285715
2009-03-12,40.756344,40.9122,40.52256,40.756344,453462,17:20,17:20,True,239997.42857142858,1.8894452440561862,2.2688180714285715
2009-03-13,45.5,46.1,45.0,46.1,310244,17:20,17:20,True,238347.5,1.3016457063740967,2.430240357142857
2009-03-16,44.3,44.3,42.4,43.2,553361,17:25,17:15,True,249942.7142857143,2.2139513111290072,2.633940357142857
2009-03-17,43.4,43.6,42.9,43.2,209682,17:20,17:20,True,281843.0714285714,0.7439671975514236,2.6789209285714284
2009-03-18,42.2,42.5,41.9,42.4,155107,17:20,17:20,True,268567.64285714284,0.5775342046044798,2.804982642857143
2009-03-19,44.2,44.4,43.8,43.8,255202,17:25,17:15,True,256952.85714285713,0.9931860763786576,2.910355785714285
2009-03-20,46.0,46.1,45.5,45.9,707809,17:20,17:20,True,262310.78571428574,2.69836026022567,3.1829746428571424
2009-03-23,47.4,47.5,47.1,47.4,734242,17:25,17:15,True,298828.4285714286,2.4570687719039928,3.332684928571428
2009-03-24,47.3,47.5,46.9,47.2,595045,17:20,17:20,True,341975.0714285714,1.740024492177897,3.362543214285714
2009-03-25,41.9,41.9,40.9,41.2,846184,17:20,17:20,True,373903.4285714286,2.263108426774828,3.6352586428571425
2009-03-26,42.5,42.5,42.0,42.1,368064,17:20,17:20,True,414196.28571428574,0.8886221646465754,3.7683666428571425
2009-03-27,43.0,43.1,42.5,42.7,258596,17:20,17:20,True,421706.71428571426,0.6132129066002879,3.8181735
2009-03-30,41.2,41.4,41.1,41.1,225985,17:20,17:20,True,420224.4285714286,0.5377721632420227,3.857497714285714
2009-03-31,39.88,40.3,39.86,40.2,901952,17:25,17:15,True,423050.0714285714,2.1320218596211427,3.6749039999999993
2009-04-01,40.4,40.5,40.2,40.3,351514,17:20,17:20,True,469638.21428571426,0.7484782739297043,3.5898908571428563
2009-04-02,47.1,47.6,46.9,47.6,356401,17:20,17:20,True,462356.21428571426,0.770836400567466,3.7857142857142847
2009-04-03,49.0,49.0,47.9,47.9,278347,17:20,17:20,True,465653.14285714284,0.5977560857683156,3.828571428571428
2009-04-06,48.3,48.4,47.8,48.0,417867,17:25,17:15,True,446009.28571428574,0.9369020183756583,3.957142857142856
2009-04-07,48.9,49.0,48.6,48.7,136011,17:25,17:15,True,460879.64285714284,0.29511175446332055,3.9428571428571417
2009-04-08,49.1,49.2,48.6,48.6,259633,17:20,17:20,True,459515.64285714284,0.5650144974079073,3.999999999999999
2009-04-14,51.5,52.5,51.3,52.3,943231,17:25,17:15,True,459832.14285714284,2.051250689304327,3.692857142857142
2009-04-15,53.3,53.8,52.8,52.8,800467,17:20,17:20,True,476648.0,1.679367164028801,3.9214285714285704
2009-04-16,52.8,53.2,52.3,53.2,267944,17:20,17:20,True,481378.35714285716,0.556618294163323,3.9428571428571417
2009-04-17,55.5,55.5,54.9,55.2,173600,17:20,17:20,True,458014.0,0.37902771531001234,3.742857142857141
2009-04-20,59.4,59.5,58.7,58.7,206164,17:20,17:20,True,409972.28571428574,0.5028730165035545,3.7928571428571414
2009-04-21,52.4,52.4,52.0,52.0,260276,17:20,17:20,True,398408.0,0.6532900945764142,4.17142857142857
2009-04-22,53.9,53.9,53.1,53.5,341768,17:20,17:20,True,398528.0,0.857575879235587,4.314285714285712
2009-04-23,53.5,53.9,53.0,53.6,282204,17:25,17:15,True,406798.21428571426,0.6937198593546292,4.292857142857142
