date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,69.5,69.5,69.0,69.0,63128,17:25,17:15,True,,,
2009-02-03,68.0,68.25,67.75,67.75,71697,17:25,17:15,True,,,
2009-02-04,71.75,71.75,71.75,71.75,39364,17:25,17:15,True,,,
2009-02-05,76.5,76.75,76.0,76.0,29003,17:25,17:15,True,,,
2009-02-06,77.25,77.5,77.25,77.5,22302,17:25,17:15,True,,,
2009-02-09,82.0,82.25,82.0,82.0,18114,17:25,17:15,True,,,
2009-02-10,84.75,84.75,84.25,84.5,60340,17:25,17:15,True,,,
2009-02-11,78.25,78.5,78.25,78.5,49644,17:25,17:15,True,,,
2009-02-12,79.0,79.0,78.75,78.75,17021,17:25,17:15,True,,,
2009-02-13,79.75,80.25,79.75,80.25,27715,17:25,17:15,True,,,
2009-02-16,81.75,82.0,81.75,81.75,50527,17:25,17:15,True,,,
2009-02-17,81.0,81.0,80.75,81.0,62646,17:25,17:15,True,,,
2009-02-19,76.75,77.0,76.5,76.75,65987,17:25,17:15,True,,,
2009-02-20,75.0,75.0,74.5,75.0,54595,17:25,17:15,True,,,
2009-02-23,74.0,74.0,74.0,74.0,18394,17:25,17:15,True,45148.78571428572,0.40740852071642486,4.339285714285714
2009-02-24,70.0,70.0,69.25,69.5,58582,17:25,17:15,True,41953.5,1.3963554888149976,4.428571428571429
2009-02-25,72.75,73.0,72.5,73.0,58499,17:25,17:15,True,41016.71428571428,1.4262234559430478,4.339285714285714
2009-02-26,71.5,71.75,71.5,71.75,99563,17:25,17:15,True,42383.5,2.349098116012127,4.142857142857143
2009-02-27,73.0,73.0,72.75,72.75,54449,17:25,17:15,True,47423.5,1.1481438527312409,4.178571428571429
2009-03-02,73.75,74.25,73.75,74.25,50135,17:25,17:15,True,49719.71428571428,1.0083525362173096,4.0
2009-03-03,73.0,73.0,72.75,72.75,30980,17:25,17:15,True,52006.92857142857,0.5956898600049169,3.892857142857143
2009-03-04,72.0,72.25,71.0,72.25,40421,17:25,17:15,True,49909.78571428572,0.8098812571826023,3.732142857142857
2009-03-05,74.75,75.0,74.25,75.0,82846,17:25,17:15,True,49251.0,1.6821181295811252,3.9464285714285716
2009-03-06,69.5,69.5,69.25,69.25,20730,17:25,17:15,True,53952.78571428572,0.3842248314994989,4.214285714285714
2009-03-10,71.25,71.5,71.0,71.0,20207,17:25,17:15,True,53453.857142857145,0.3780269765378417,4.196428571428571
2009-03-11,75.5,75.75,75.5,75.75,31649,17:25,17:15,True,51288.142857142855,0.6170821994501653,4.392857142857143
2009-03-12,76.5,76.75,76.5,76.75,17648,17:25,17:15,True,49074.07142857143,0.35961964202801305,4.464285714285714
2009-03-13,77.0,77.0,76.75,77.0,49069,17:25,17:15,True,45621.28571428572,1.0755724927900197,4.5
2009-03-16,74.0,74.0,73.5,73.75,28868,17:25,17:15,True,45226.57142857143,0.6382973346894683,4.625
2009-03-17,74.75,75.25,74.5,75.0,35979,17:25,17:15,True,45974.71428571428,0.7825823511681888,4.482142857142857
2009-03-18,74.25,74.75,74.25,74.5,77237,17:25,17:15,True,44360.21428571428,1.7411322565426228,4.446428571428571
2009-03-19,72.5,72.5,72.25,72.5,30182,17:25,17:15,True,45698.642857142855,0.6604572502153081,4.482142857142857
2009-03-20,71.0,71.25,70.75,71.25,88947,17:25,17:15,True,40742.857142857145,2.1831311360448806,4.446428571428571
2009-03-23,72.0,72.0,71.75,72.0,38711,17:25,17:15,True,43207.0,0.8959427870483949,4.357142857142857
2009-03-24,73.75,74.0,73.5,73.75,63696,17:25,17:15,True,42391.0,1.5025830954683776,4.285714285714286
2009-03-25,71.25,71.25,70.75,70.75,12637,17:25,17:15,True,44727.857142857145,0.28253086124019866,4.285714285714286
2009-03-26,72.75,73.25,72.5,73.25,36320,17:25,17:15,True,42743.28571428572,0.8497241003599563,4.160714285714286
2009-03-27,73.5,73.5,73.25,73.25,38784,17:25,17:15,True,39420.0,0.9838660578386605,3.857142857142857
2009-03-30,71.0,71.0,70.5,70.75,43592,17:25,17:15,True,40709.57142857143,1.070804689665821,3.75
2009-03-31,70.5,70.75,70.5,70.75,44710,17:25,17:15,True,42379.92857142857,1.0549805416647706,3.5357142857142856
2009-04-01,71.5,71.5,70.5,71.0,28526,17:25,17:15,True,43312.857142857145,0.6586035159470959,3.3035714285714284
2009-04-02,73.0,73.5,73.0,73.5,84263,17:25,17:15,True,44089.857142857145,1.9111651853843934,3.25
2009-04-03,79.0,79.25,78.75,79.0,89660,17:25,17:15,True,46603.71428571428,1.9238809904789933,3.5714285714285716
2009-04-06,83.0,83.5,83.0,83.25,41613,17:25,17:15,True,50946.0,0.8168060299140266,3.732142857142857
2009-04-07,81.75,82.0,81.75,82.0,15316,17:25,17:15,True,51348.42857142857,0.298275924426676,3.7857142857142856
2009-04-08,77.0,77.0,76.75,77.0,48002,17:25,17:15,True,46925.5,1.022940618640185,3.732142857142857
2009-04-14,84.0,84.0,83.5,83.75,152503,17:25,17:15,True,48198.357142857145,3.1640705003282563,3.75
2009-04-15,85.75,85.75,85.0,85.25,227483,17:25,17:15,True,52738.07142857143,4.313449351444403,4.339285714285714
2009-04-16,85.75,85.75,85.5,85.5,25819,17:25,17:15,True,66221.78571428571,0.3898867981512342,4.535714285714286
2009-04-17,86.25,86.25,86.0,86.25,41157,17:25,17:15,True,63516.28571428572,0.6479755473286941,4.517857142857143
2009-04-20,88.25,88.25,88.0,88.25,114150,17:25,17:15,True,65553.42857142857,1.7413276847239112,4.642857142857143
2009-04-21,82.75,83.0,82.5,82.75,27661,17:25,17:15,True,71112.71428571429,0.3889740432191149,5.053571428571429
2009-04-22,87.5,88.0,87.0,88.0,381442,17:25,17:15,True,70318.21428571429,5.4245120396564595,5.535714285714286
2009-04-23,92.25,92.25,92.25,92.25,32335,17:25,17:15,True,94450.35714285714,0.3423491554520326,5.839285714285714
2009-04-24,91.25,91.5,91.0,91.25,24412,17:25,17:15,True,93566.42857142857,0.26090554457108395,5.928571428571429
