date,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,last_available_bar_time,exit_time,is_full_day,avg_volume_14d,relative_volume,atr_14d
2009-02-02,33.0,33.1,32.5,32.5,186226,17:25,17:15,True,,,
2009-02-03,32.7,32.7,32.3,32.4,84589,17:20,17:20,True,,,
2009-02-04,32.6,32.7,32.6,32.7,93800,17:20,17:20,True,,,
2009-02-05,34.3,34.4,34.1,34.1,252193,17:20,17:20,True,,,
2009-02-06,39.9,41.0,39.0,39.6,2097722,17:20,17:20,True,,,
2009-02-09,40.5,41.5,40.5,41.5,453845,17:20,17:20,True,,,
2009-02-10,44.0,44.0,43.6,43.6,503701,17:20,17:20,True,,,
2009-02-11,41.8,42.2,41.6,41.7,168036,17:20,17:20,True,,,
2009-02-12,43.0,43.0,42.3,42.8,172610,17:20,17:20,True,,,
2009-02-13,42.4,42.6,42.3,42.3,80514,17:25,17:15,True,,,
2009-02-16,41.8,42.2,41.8,42.0,99682,17:20,17:20,True,,,
2009-02-17,41.6,42.0,41.6,41.6,339080,17:25,17:15,True,,,
2009-02-19,40.4,40.5,40.2,40.3,217752,17:25,17:15,True,,,
2009-02-20,39.6,40.1,39.6,40.0,295531,17:25,17:15,True,,,
2009-02-23,37.8,38.0,37.8,37.8,122140,17:20,17:20,True,360377.21428571426,0.3389226487087637,2.97857142857143
2009-02-24,34.9,34.9,34.1,34.1,292072,17:20,17:20,True,355799.64285714284,0.8208889633913148,3.02857142857143
2009-02-25,36.7,36.9,36.4,36.5,306491,17:20,17:20,True,370619.85714285716,0.8269686421088377,3.0928571428571443
2009-02-26,36.7,37.0,36.6,36.6,167710,17:25,17:15,True,385812.0714285714,0.43469350085135827,3.0357142857142874
2009-02-27,37.9,37.9,37.1,37.6,233928,17:20,17:20,True,379777.5714285714,0.6159605453267194,3.164285714285716
2009-03-02,36.9,37.0,36.5,36.5,425802,17:20,17:20,True,246649.42857142858,1.7263449685093823,2.8500000000000014
2009-03-03,36.8,36.8,36.6,36.8,120627,17:20,17:20,True,244646.35714285713,0.49306681451856604,2.5785714285714296
2009-03-04,36.1,36.5,35.9,36.0,111659,17:20,17:20,True,217283.92857142858,0.513885222593874,2.478571428571429
2009-03-05,37.7,37.8,37.6,37.7,78966,17:20,17:20,True,213257.0,0.37028561782262714,2.478571428571429
2009-03-06,36.2,36.2,35.8,35.9,124111,17:20,17:20,True,206568.14285714287,0.6008235262386608,2.4642857142857153
2009-03-10,37.1,37.4,37.1,37.4,53308,17:25,17:15,True,209682.2142857143,0.25423234002747697,2.421428571428573
2009-03-11,41.0,41.1,40.8,41.0,197264,17:25,17:15,True,206369.7857142857,0.9558763620228182,2.671428571428572
2009-03-12,43.8,43.8,43.2,43.5,516478,17:20,17:20,True,196240.07142857142,2.631868181866162,2.8214285714285725
2009-03-13,45.4,45.9,45.4,45.9,222542,17:20,17:20,True,217577.64285714287,1.0228164855435842,2.8785714285714294
2009-03-16,45.2,45.5,45.2,45.5,174204,17:25,17:15,True,212364.14285714287,0.8203079750482493,2.6642857142857146
2009-03-17,43.9,44.0,43.8,43.8,92314,17:20,17:20,True,216083.0,0.42721546813030176,2.628571428571429
2009-03-18,43.4,43.6,43.4,43.6,242215,17:20,17:20,True,201814.57142857142,1.2001858849212361,2.6000000000000005
2009-03-19,42.8,43.4,42.8,43.3,213006,17:25,17:15,True,197223.42857142858,1.0800238163533165,2.592857142857143
2009-03-20,43.3,43.7,43.2,43.7,451138,17:20,17:20,True,200458.85714285713,2.2505266488599016,2.5142857142857147
2009-03-23,43.4,43.6,43.2,43.3,126354,17:25,17:15,True,215973.85714285713,0.5850430310017681,2.5428571428571436
2009-03-24,44.0,44.1,43.5,44.1,551528,17:20,17:20,True,194584.7142857143,2.8343850236364183,2.557142857142858
2009-03-25,41.8,42.2,41.8,42.2,149104,17:20,17:20,True,225363.35714285713,0.6616159871344277,2.6642857142857155
2009-03-26,44.1,44.1,43.9,44.0,119500,17:20,17:20,True,228038.0,0.524035467772915,2.671428571428573
2009-03-27,44.0,44.3,43.8,44.2,242022,17:20,17:20,True,230933.2857142857,1.0480169597527549,2.6071428571428585
2009-03-30,45.2,45.4,45.0,45.3,166149,17:25,17:15,True,239355.5,0.694151586238879,2.7428571428571438
2009-03-31,43.2,43.8,43.2,43.7,264463,17:25,17:15,True,247415.57142857142,1.0689020035117318,2.5714285714285725
2009-04-01,43.4,43.5,43.3,43.5,152537,17:20,17:20,True,252215.5,0.6047883655048956,2.350000000000001
2009-04-02,45.1,45.4,44.8,45.0,743724,17:20,17:20,True,226219.7142857143,3.287617979486441,2.407142857142858
2009-04-03,47.5,47.5,47.0,47.0,144777,17:20,17:20,True,263447.0,0.549548865616234,2.607142857142858
2009-04-06,49.9,50.0,49.7,50.0,256236,17:25,17:15,True,261345.07142857142,0.9804508598511382,2.7357142857142867
2009-04-07,49.9,50.25,49.7,49.7,160126,17:25,17:15,True,273053.78571428574,0.5864265883775384,2.764285714285715
2009-04-08,47.6,47.8,47.2,47.2,319506,17:20,17:20,True,267190.28571428574,1.1957994623414452,2.7964285714285717
2009-04-14,49.2,49.2,48.8,48.8,220959,17:25,17:15,True,274797.4285714286,0.8040795765400175,2.8321428571428577
2009-04-15,51.5,51.75,51.0,51.25,302159,17:20,17:20,True,258356.07142857142,1.169544800434616,2.9785714285714286
2009-04-16,53.0,53.25,53.0,53.0,81016,17:20,17:20,True,270913.5714285714,0.29904740309903793,3.025
2009-04-17,52.5,52.75,52.25,52.25,57936,17:20,17:20,True,237305.57142857142,0.24414091776786892,3.057142857142857
2009-04-20,54.0,54.5,53.75,54.0,188887,17:20,17:20,True,230793.57142857142,0.8184240090866607,3.164285714285714
2009-04-21,48.8,49.4,48.8,49.2,392068,17:20,17:20,True,235749.7857142857,1.6630683197106375,3.4499999999999993
2009-04-22,50.25,50.5,50.0,50.5,326609,17:20,17:20,True,246467.35714285713,1.3251612862091562,3.421428571428571
2009-04-23,53.5,53.5,53.0,53.25,169598,17:25,17:15,True,257928.7857142857,0.6575380856786882,3.5714285714285707
2009-04-24,49.9,51.5,49.9,51.5,2317537,17:20,17:20,True,251152.7142857143,9.227600850706088,3.778571428571428
2009-04-27,52.5,52.75,52.0,52.75,156337,17:25,17:15,True,405795.5714285714,0.3852604883035758,3.8785714285714286
2009-04-28,51.75,51.75,51.25,51.5,158986,17:25,17:15,True,363839.35714285716,0.43696757065667324,3.739285714285714
2009-04-29,51.5,51.75,51.5,51.75,86301,17:25,17:15,True,364854.28571428574,0.23653552494537936,3.7535714285714286
2009-05-04,54.25,54.5,54.25,54.25,213464,17:20,17:20,True,352716.0714285714,0.605200662208069,3.7535714285714286
2009-05-05,56.5,56.75,55.75,56.5,372277,17:25,17:15,True,356525.9285714286,1.0441793153493344,3.814285714285714
2009-05-06,55.25,55.75,54.75,55.5,148078,17:25,17:15,True,360295.28571428574,0.41099066757544506,3.7964285714285713
2009-05-07,57.5,57.75,57.25,57.5,120587,17:20,17:20,True,355089.5,0.3395960736659349,3.7142857142857144
2009-05-08,57.0,57.25,57.0,57.25,166659,17:20,17:20,True,342120.0714285714,0.4871359908937568,3.7857142857142856
2009-05-11,56.75,57.0,56.5,56.75,99688,17:20,17:20,True,348237.4285714286,0.28626446160296215,3.732142857142857
2009-05-12,53.0,53.0,52.75,53.0,123823,17:20,17:20,True,351219.71428571426,0.35255139436526917,3.732142857142857
2009-05-13,52.25,52.5,52.0,52.5,120626,17:25,17:15,True,346572.28571428574,0.34805437414416945,3.6142857142857143
2009-05-14,48.7,49.0,48.5,48.7,225004,17:20,17:20,True,327183.5714285714,0.6876995657745651,3.6714285714285717
2009-05-15,50.75,51.0,50.25,50.5,201082,17:20,17:20,True,319926.0714285714,0.6285264564469694,3.442857142857143
2009-05-18,49.5,49.5,49.1,49.2,170410,17:20,17:20,True,322174.9285714286,0.5289362544615847,3.3071428571428574
2009-05-19,51.0,51.25,51.0,51.25,164740,17:20,17:20,True,168808.7142857143,0.9758974866734198,3.125
2009-05-22,51.0,51.0,50.75,51.0,241129,17:20,17:20,True,169408.92857142858,1.423354731261002,3.1785714285714284
2009-05-25,50.0,50.5,49.8,50.5,64515,17:20,17:20,True,175276.2857142857,0.36807603342967105,3.0964285714285715
2009-05-26,49.1,49.1,48.8,48.8,144702,17:20,17:20,True,173720.14285714287,0.8329604018285567,3.0392857142857146
2009-05-27,49.9,49.9,49.7,49.8,135216,17:20,17:20,True,168808.57142857142,0.8010019802650509,2.9392857142857145
2009-05-28,47.9,47.9,47.6,47.7,107198,17:20,17:20,True,151875.64285714287,0.7058274650454154,2.8928571428571432
2009-05-29,48.6,48.7,48.5,48.5,76313,17:20,17:20,True,148955.64285714287,0.5123203024486196,2.721428571428572
2009-06-01,49.4,49.6,49.2,49.6,195894,17:20,17:20,True,145793.2142857143,1.3436427817285244,2.5535714285714297
2009-06-02,50.5,50.5,50.25,50.25,127211,17:20,17:20,True,147881.42857142858,0.8602229585478713,2.5714285714285725
2009-06-03,51.5,51.5,51.0,51.0,220579,17:20,17:20,True,149847.35714285713,1.4720246269656314,2.410714285714287
2009-06-04,49.4,49.5,49.2,49.2,114922,17:25,17:15,True,156758.5,0.7331149507044276,2.357142857142858
2009-06-05,49.0,49.0,48.8,49.0,21744,17:25,17:15,True,156351.07142857142,0.1390716405159634,2.2000000000000006
2009-06-08,48.0,48.0,47.7,47.7,164850,17:20,17:20,True,141832.5,1.162286499920681,2.171428571428572
2009-06-09,46.8,46.9,46.8,46.9,163636,17:20,17:20,True,139244.5,1.1751702939792954,2.1357142857142866
2009-06-10,48.2,48.5,48.0,48.3,460690,17:25,17:15,True,138760.64285714287,3.3200336241904735,2.10357142857143
2009-06-11,49.5,49.8,49.4,49.8,104410,17:20,17:20,True,159899.92857142858,0.6529708983163129,2.0571428571428583
2009-06-12,49.7,49.9,49.7,49.8,121351,17:20,17:20,True,150134.2857142857,0.8082830608788323,2.00357142857143
2009-06-15,50.0,50.25,50.0,50.0,108743,17:20,17:20,True,154194.0,0.7052349637469681,2.0321428571428584
2009-06-16,48.4,48.5,48.3,48.4,218524,17:20,17:20,True,151625.5,1.441208767654517,2.035714285714287
2009-06-17,49.2,49.3,48.8,49.0,163687,17:25,17:15,True,157576.07142857142,1.0387808156151337,2.2107142857142863
2009-06-18,48.8,48.9,48.7,48.7,81405,17:20,17:20,True,161611.0,0.5037095247229458,2.282142857142858
2009-06-22,48.3,48.3,48.1,48.2,179037,17:20,17:20,True,161974.7142857143,1.1053391931544871,2.2892857142857146
2009-06-23,45.8,45.9,45.7,45.8,152864,17:20,17:20,True,160770.64285714287,0.9508203567726694,2.2285714285714286
2009-06-24,46.1,46.1,46.0,46.0,167392,17:20,17:20,True,162603.0,1.0294521011297455,2.1892857142857145
2009-06-25,48.1,48.1,47.7,47.7,113003,17:25,17:15,True,158803.92857142858,0.7115881893889814,2.1750000000000003
2009-06-26,47.7,47.7,47.5,47.6,72257,17:20,17:20,True,158666.85714285713,0.45540071380466535,2.2464285714285714
2009-06-29,47.0,47.1,46.8,46.8,49442,17:20,17:20,True,162274.92857142858,0.30468046071723953,2.2250000000000005
2009-06-30,48.9,49.0,48.7,48.9,104960,17:20,17:20,True,154031.5,0.6814190603869987,2.2250000000000005
2009-07-01,47.6,48.0,47.6,48.0,138979,17:20,17:20,True,149840.35714285713,0.9275138063605791,2.1750000000000003
2009-07-02,49.2,49.2,49.0,49.0,83065,17:20,17:20,True,126861.0,0.6547717580659147,2.0928571428571425
2009-07-03,48.2,48.2,48.0,48.0,44465,17:20,17:20,True,125336.35714285714,0.3547653770511236,2.0714285714285707
2009-07-06,47.2,47.2,47.0,47.1,90925,17:20,17:20,True,119844.5,0.7586914710312113,1.9999999999999996
2009-07-07,47.5,47.5,47.1,47.1,46569,17:20,17:20,True,118571.78571428571,0.39274941942945957,1.9178571428571425
