date,trades,net_pnl,cumulative_pnl,capital
2009-02-23,2,-2426.591557496907,-2426.591557496907,97573.40844250309
2009-02-24,4,-4760.62370029811,-7187.215257795016,92812.78474220497
2009-02-25,5,-5603.514805567254,-12790.73006336227,87209.2699366377
2009-02-26,2,4209.460156948438,-8581.269906413832,91418.73009358614
2009-02-27,2,-2284.724681517134,-10865.994587930967,89134.00541206902
2009-03-02,5,-5386.231766497389,-16252.226354428356,83747.77364557164
2009-03-03,1,-1033.628557327366,-17285.854911755723,82714.14508824427
2009-03-04,4,4015.9666235802983,-13269.888288175425,86730.11171182456
2009-03-05,2,-2068.1803451819105,-15338.068633357336,84661.93136664265
2009-03-06,1,-1016.5507502601063,-16354.619383617443,83645.38061638254
2009-03-12,2,-2121.2286516959575,-18475.8480353134,81524.15196468658
2009-03-13,6,-5883.35821095377,-24359.20624626717,75640.7937537328
2009-03-17,1,4974.696723490581,-19384.509522776592,80615.49047722337
2009-03-18,4,10613.34566744868,-8771.163855327912,91228.83614467205
2009-03-20,7,-7741.22261645104,-16512.38647177895,83487.61352822102
2009-03-24,5,-5046.090095625414,-21558.476567404367,78441.5234325956
2009-03-25,2,-1996.3616822610902,-23554.838249665456,76445.16175033452
2009-03-26,3,-2993.435614517562,-26548.27386418302,73451.72613581695
2009-03-27,1,4636.812270476449,-21911.46159370657,78088.5384062934
2009-03-30,1,-1015.0989402562085,-22926.560533962776,77073.43946603719
2009-04-01,2,-1996.930681458589,-24923.491215421367,75076.5087845786
2009-04-02,4,6571.722722431824,-18351.768492989544,81648.23150701042
2009-04-03,3,-3089.7646758589735,-21441.533168848517,78558.46683115144
2009-04-08,3,-2943.436759775208,-24384.969928623723,75615.03007137624
2009-04-15,7,-6350.882810355478,-30735.8527389792,69264.14726102077
2009-04-17,3,-2571.5497409627287,-33307.40247994193,66692.59752005804
2009-04-20,2,-1674.2558938781585,-34981.658373820086,65018.34162617989
2009-04-21,2,-1547.1899226468722,-36528.84829646696,63471.15170353302
2009-04-22,2,-1511.6056756041648,-38040.453972071125,61959.54602792885
2009-04-24,1,-720.5609416106138,-38761.01491368174,61238.98508631824
2009-05-04,4,-2965.269535494487,-41726.28444917623,58273.71555082375
2009-05-07,3,-2245.4266330459914,-43971.711082222224,56028.28891777776
2009-05-08,2,-1422.5195960760511,-45394.23067829828,54605.769321701715
2009-05-11,2,1442.4891769182595,-43951.74150138002,56048.25849861997
2009-05-12,1,-763.4161713795463,-44715.15767275957,55284.842327240425
2009-05-13,1,-703.7939730449048,-45418.951645804475,54581.04835419552
2009-05-14,2,-1260.7902088172623,-46679.74185462174,53320.258145378255
2009-05-15,3,925.8429978185286,-45753.89885680321,54246.101143196785
2009-05-18,1,-704.955516794823,-46458.85437359803,53541.145626401965
2009-05-19,2,-1366.01966536748,-47824.87403896551,52175.125961034486
2009-05-22,3,-1968.914842947927,-49793.78888191343,50206.21111808656
2009-05-25,1,3204.436194259247,-46589.35268765419,53410.647312345805
2009-05-27,1,-669.648209784676,-47259.00089743886,52740.99910256113
2009-05-28,2,-1378.4092012173055,-48637.41009865617,51362.589901343825
2009-05-29,3,-1984.891258828448,-50622.30135748462,49377.69864251538
2009-06-01,4,-2448.4359746006676,-53070.737332085286,46929.262667914714
2009-06-02,3,-1900.8295980994906,-54971.566930184774,45028.43306981522
2009-06-03,4,-2325.403230413978,-57296.97016059875,42703.029839401235
2009-06-04,1,-610.1483169592535,-57907.118477558004,42092.88152244198
2009-06-05,3,-1633.8433266723143,-59540.96180423032,40459.038195769666
2009-06-08,1,1757.7109730692407,-57783.25083116108,42216.749168838905
2009-06-09,5,-2813.7968684644284,-60597.04769962551,39402.95230037448
2009-06-10,1,-487.6656380182766,-61084.713337643785,38915.28666235621
2009-06-11,1,-523.0836921545186,-61607.797029798305,38392.20297020169
2009-06-12,1,-505.39518507394615,-62113.19221487225,37886.80778512774
2009-06-15,1,-519.9287818369711,-62633.12099670922,37366.87900329077
2009-06-16,4,-1975.88440988995,-64609.00540659917,35390.99459340082
2009-06-17,7,-3296.2504969127726,-67905.25590351195,32094.744096488055
2009-06-18,1,-468.4725418192253,-68373.72844533117,31626.27155466883
2009-06-22,3,5599.0566413164215,-62774.67180401475,37225.32819598525
2009-06-23,6,-2940.4360426518,-65715.10784666655,34284.89215333344
2009-06-24,3,1601.2489367010821,-64113.858909965464,35886.14109003452
2009-06-25,1,-515.1456924220962,-64629.00460238756,35370.99539761242
2009-06-26,1,1683.418320407259,-62945.5862819803,37054.413718019685
2009-06-29,1,-535.2386171430841,-63480.824899123385,36519.1751008766
2009-06-30,1,-517.4328881692986,-63998.257787292685,36001.7422127073
2009-07-01,2,-949.1176071415565,-64947.37539443424,35052.62460556575
2009-07-02,1,-426.2095455552626,-65373.5849399895,34626.415060010484
2009-07-06,2,1318.59657761318,-64054.98836237632,35945.01163762366
2009-07-08,1,-475.9669995811324,-64530.95536195746,35469.04463804253
2009-07-09,1,-504.2112523982445,-65035.1666143557,34964.833385644284
2009-07-10,2,-957.2710728482151,-65992.43768720391,34007.562312796064
2009-07-13,4,-1819.3879929958528,-67811.82568019976,32188.174319800208
2009-07-14,4,-1717.9344747736743,-69529.76015497344,30470.239845026532
2009-07-15,5,1774.842298577947,-67754.91785639549,32245.08214360447
