date,period_start,period_end,trades,net_pnl,cumulative_pnl,capital
2012-01-02,2012-01-01,2014-12-31,4,-856.3713436861478,-856.3713436861478,99143.62865631386
2012-01-03,2012-01-01,2014-12-31,4,2391.469323123424,1535.0979794372763,101535.09797943727
2012-01-04,2012-01-01,2014-12-31,13,1305.1968673315478,2840.294846768824,102840.29484676883
2012-01-09,2012-01-01,2014-12-31,15,-1036.9301325697747,1803.364714199049,101803.36471419905
2012-01-10,2012-01-01,2014-12-31,7,1525.275960591899,3328.640674790948,103328.64067479095
2012-01-11,2012-01-01,2014-12-31,5,-869.8055566424589,2458.8351181484895,102458.8351181485
2012-01-12,2012-01-01,2014-12-31,6,756.9619356969733,3215.797053845463,103215.7970538455
2012-01-13,2012-01-01,2014-12-31,7,-1358.6958173858216,1857.1012364596413,101857.10123645967
2012-01-16,2012-01-01,2014-12-31,5,1983.2033726344753,3840.3046090941166,103840.30460909415
2012-01-17,2012-01-01,2014-12-31,12,-1686.7106004283355,2153.594008665781,102153.59400866581
2012-01-18,2012-01-01,2014-12-31,5,-2775.966377508219,-622.3723688424379,99377.62763115761
2012-01-19,2012-01-01,2014-12-31,4,-890.6018407145019,-1512.97420955694,98487.0257904431
2012-01-20,2012-01-01,2014-12-31,8,667.1744784637035,-845.7997310932365,99154.2002689068
2012-01-23,2012-01-01,2014-12-31,3,-1245.187158511264,-2090.9868896045004,97909.01311039554
2012-01-24,2012-01-01,2014-12-31,8,-960.9356663409475,-3051.922555945448,96948.07744405458
2012-01-25,2012-01-01,2014-12-31,8,-4003.795197612279,-7055.717753557727,92944.28224644231
2012-01-26,2012-01-01,2014-12-31,3,257.01245453793524,-6798.705299019792,93201.29470098024
2012-01-27,2012-01-01,2014-12-31,7,123.17925265473843,-6675.526046365053,93324.47395363498
2012-01-30,2012-01-01,2014-12-31,5,-1096.5694413599094,-7772.095487724962,92227.90451227508
2012-01-31,2012-01-01,2014-12-31,7,-2139.11353959685,-9911.209027321813,90088.79097267824
2012-02-01,2012-01-01,2014-12-31,3,446.5502685974478,-9464.658758724365,90535.3412412757
2012-02-02,2012-01-01,2014-12-31,4,154.49950959556026,-9310.159249128805,90689.84075087127
2012-02-03,2012-01-01,2014-12-31,4,734.7993801054889,-8575.359869023316,91424.64013097677
2012-02-06,2012-01-01,2014-12-31,6,-1584.6371306139354,-10159.996999637251,89840.00300036283
2012-02-07,2012-01-01,2014-12-31,4,2253.964991512052,-7906.032008125199,92093.96799187489
2012-02-08,2012-01-01,2014-12-31,8,-2079.059835677726,-9985.091843802926,90014.90815619717
2012-02-09,2012-01-01,2014-12-31,3,-120.37717220116534,-10105.469016004092,89894.530983996
2012-02-10,2012-01-01,2014-12-31,1,-86.22851207015681,-10191.697528074248,89808.30247192584
2012-02-13,2012-01-01,2014-12-31,2,-757.0736429956579,-10948.771171069906,89051.22882893018
2012-02-14,2012-01-01,2014-12-31,2,-775.3643450914144,-11724.135516161321,88275.86448383877
2012-02-15,2012-01-01,2014-12-31,5,-332.6728548555743,-12056.808371016896,87943.1916289832
2012-02-16,2012-01-01,2014-12-31,8,-4015.50493312206,-16072.313304138956,83927.68669586114
2012-02-17,2012-01-01,2014-12-31,7,-757.754172218421,-16830.067476357377,83169.93252364272
2012-02-20,2012-01-01,2014-12-31,4,-441.602664122341,-17271.670140479717,82728.32985952038
2012-02-21,2012-01-01,2014-12-31,4,-129.78618259869342,-17401.45632307841,82598.54367692168
2012-02-22,2012-01-01,2014-12-31,2,-346.8806399990278,-17748.33696307744,82251.66303692265
2012-02-23,2012-01-01,2014-12-31,8,-1491.2645823747198,-19239.60154545216,80760.39845454792
2012-02-24,2012-01-01,2014-12-31,5,-1489.7160678698726,-20729.31761332203,79270.68238667803
2012-02-27,2012-01-01,2014-12-31,1,34.86055310102953,-20694.457060221,79305.54293977906
2012-02-28,2012-01-01,2014-12-31,2,-392.9019047797163,-21087.358965000716,78912.64103499934
2012-02-29,2012-01-01,2014-12-31,4,-598.5604722512477,-21685.919437251963,78314.0805627481
2012-03-01,2012-01-01,2014-12-31,7,-82.36782631874894,-21768.287263570714,78231.71273642936
2012-03-02,2012-01-01,2014-12-31,2,-827.9926447046353,-22596.279908275348,77403.72009172472
2012-03-05,2012-01-01,2014-12-31,3,920.1707039906073,-21676.10920428474,78323.89079571533
2012-03-06,2012-01-01,2014-12-31,8,9130.152368854353,-12545.956835430388,87454.04316456967
2012-03-07,2012-01-01,2014-12-31,8,465.72518046956566,-12080.231654960822,87919.7683450392
2012-03-08,2012-01-01,2014-12-31,12,4044.148233169322,-8036.0834217915,91963.91657820853
2012-03-09,2012-01-01,2014-12-31,5,663.1414301092851,-7372.941991682214,92627.05800831782
2012-03-12,2012-01-01,2014-12-31,3,-322.12870864775067,-7695.070700329965,92304.92929967007
2012-03-13,2012-01-01,2014-12-31,6,180.52192895102144,-7514.5487713789435,92485.45122862111
2012-03-14,2012-01-01,2014-12-31,13,-342.36888930424595,-7856.91766068319,92143.08233931688
2012-03-15,2012-01-01,2014-12-31,6,-621.7175355828463,-8478.635196266036,91521.36480373403
2012-03-16,2012-01-01,2014-12-31,5,1469.274316624477,-7009.360879641558,92990.63912035851
2012-03-19,2012-01-01,2014-12-31,3,112.7198313607496,-6896.641048280809,93103.35895171926
2012-03-20,2012-01-01,2014-12-31,7,3756.8466095897197,-3139.794438691089,96860.20556130898
2012-03-21,2012-01-01,2014-12-31,8,-1450.4755585578378,-4590.269997248926,95409.73000275114
2012-03-22,2012-01-01,2014-12-31,6,-1035.6306620417074,-5625.9006592906335,94374.09934070944
2012-03-23,2012-01-01,2014-12-31,5,-137.370749304451,-5763.271408595085,94236.72859140499
