period,group,trade_count,total_net_pnl,avg_net_pnl,avg_gross_pnl,avg_cost,hit_rate,stop_rate
all,other,583,1446.8949672955707,2.4818095493920596,45.3407572094299,42.85894766003785,0.5111492281303602,0.06689536878216124
all,report_day,352,11559.97744100122,32.840845002844375,72.13554853761251,39.294703534768125,0.4971590909090909,0.16477272727272727
2009-2011,other,87,-5445.059408387948,-62.58688975158561,-28.429004069595468,34.15788568199014,0.4482758620689655,0.04597701149425287
2009-2011,report_day,50,69.53331198112642,1.3906662396225284,32.465052094318054,31.07438585469552,0.52,0.12
2012-2014,other,148,774.5882251943874,5.233704224286401,54.23304220013154,48.99933797584515,0.5202702702702703,0.07432432432432433
2012-2014,report_day,77,11940.637740831206,155.07321741339229,198.38908793848998,43.3158705250977,0.4805194805194805,0.1038961038961039
2015-2017,other,119,3867.4800895697003,32.499832685459666,74.8487339362175,42.34890125075783,0.5294117647058824,0.07563025210084033
2015-2017,report_day,60,-4350.150163053131,-72.50250271755219,-30.951806368669864,41.55069634888233,0.5166666666666667,0.25
2018-2020,other,114,5319.674048678807,46.66380744455093,90.53478146869963,43.8709740241487,0.5,0.07894736842105263
2018-2020,report_day,76,2622.6774874280572,34.50891430826391,75.51550438868703,41.00659008042312,0.47368421052631576,0.19736842105263158
2021-2023,other,115,-3069.787987759376,-26.693808589211965,14.369827266881147,41.063635856093114,0.5391304347826087,0.05217391304347826
2021-2023,report_day,89,1277.2790638139616,14.351450155213051,51.80259278471849,37.451142629505426,0.5056179775280899,0.15730337078651685
